,Name,RA,Dec,MajAx,MinAx,PosAng,M,NGC,IC,Common names
221,IC0217,02:16:10.44,-11:55:36.2,2.0,0.45,35.0,,,1787,
222,IC0218,02:17:07.25,+01:16:56.4,0.91,0.3,75.0,,,,
223,IC0219,02:18:38.83,-06:54:12.0,1.56,1.19,177.0,,,,
224,IC0220,02:19:11.73,-12:46:53.9,0.67,0.32,34.0,,,,
225,IC0221,02:22:40.90,+28:15:25.1,1.54,1.19,16.0,,,,
226,IC0222,02:22:47.85,+11:38:18.0,0.84,0.65,42.0,,,,
227,IC0223,02:22:01.10,-20:44:45.3,1.15,0.59,143.0,,,,
228,IC0224,02:24:45.14,-12:33:52.1,0.86,0.59,130.0,,,,
229,IC0225,02:26:28.29,+01:09:37.9,1.01,0.9,158.0,,,,
230,IC0226,02:27:45.93,+28:12:31.8,0.81,0.72,55.0,,,,
231,IC0227,02:28:03.61,+28:10:31.2,2.01,1.77,80.0,,,,
232,IC0228,02:26:41.53,-14:30:56.3,,,,,0944,,
233,IC0229,02:27:22.09,-23:48:46.8,,,,,,,
234,IC0230,02:28:47.29,-10:49:52.9,0.64,0.42,87.0,,,,
235,IC0231,02:29:56.39,+01:10:44.7,0.74,0.33,162.0,,,,
236,IC0232,02:31:11.62,+01:15:56.3,1.1,0.67,154.0,,,,
237,IC0233,02:31:40.70,+02:48:35.7,0.33,0.26,100.0,,,,
238,IC0234,02:31:37.72,-00:08:24.9,0.69,0.35,158.0,,,,
239,IC0235,02:32:50.79,+20:38:28.5,0.39,0.3,35.0,,,,
240,IC0236,02:32:55.81,-00:07:52.5,0.74,0.37,23.0,,,,
241,IC0237,02:33:31.57,+01:08:23.6,0.54,0.51,11.0,,,,
242,IC0238,02:35:22.68,+12:50:15.8,1.38,0.79,35.0,,,,
243,IC0239,02:36:27.88,+38:58:11.7,4.25,4.01,75.0,,,,
244,IC0240,02:38:58.57,+41:43:09.9,,,,,,,
245,IC0241,02:37:54.50,+02:19:40.9,0.9,0.59,152.0,,,,
246,IC0242,02:38:23.93,-06:56:02.2,,,,,,,
247,IC0243,02:38:32.16,-06:54:07.7,1.22,0.7,20.0,,,,
248,IC0244,02:39:24.73,+02:43:43.7,0.7,0.47,176.0,,,,
249,IC0245,02:38:54.64,-14:18:20.0,1.11,0.29,25.0,,,,
250,IC0246,02:40:28.60,+02:28:43.1,0.69,0.61,48.0,,,,
251,IC0247,02:40:08.78,-11:44:01.6,0.88,0.64,45.0,,,,
252,IC0248,02:41:25.83,+17:48:44.0,0.99,0.74,147.0,,,,
253,IC0249,02:41:02.49,-06:56:09.3,,,,,0961,,
254,IC0250,02:40:54.27,-13:18:48.8,0.91,0.73,178.0,,,,
255,IC0251,02:41:13.85,-14:57:28.2,0.84,0.74,96.0,,,,
256,IC0252,02:41:45.13,-14:50:53.7,1.01,0.62,26.0,,,,
257,IC0253,02:42:05.75,-15:02:48.6,0.95,0.74,162.0,,,,
258,IC0254,02:42:04.98,-15:06:23.9,0.26,0.25,55.0,,,,
259,IC0255,02:47:03.21,+16:17:16.9,0.59,0.4,45.0,,,,
260,IC0256,02:49:40.30,+46:57:16.8,0.46,0.29,30.0,,,,
261,IC0257,02:49:45.44,+46:58:34.3,1.93,1.19,154.0,,,,
262,IC0258,02:49:46.10,+41:03:06.0,1.48,1.23,170.0,,,,
263,IC0259,02:49:40.88,+41:03:18.4,0.69,0.53,130.0,,,,
264,IC0260,02:51:00.88,+46:57:17.2,1.53,0.75,170.0,,,,
265,IC0261,02:49:04.09,-14:28:14.5,,,,,1120,,
266,IC0262,02:51:43.27,+42:49:41.8,2.1,1.74,36.0,,,,
267,IC0263,02:49:39.96,-00:04:11.5,0.65,0.44,168.0,,,,
268,IC0264,02:48:47.62,-00:06:33.1,0.5,0.37,28.0,,,,
269,IC0265,02:54:43.98,+41:39:19.2,0.71,0.63,60.0,,,,
270,IC0266,02:55:04.83,+42:15:44.4,0.74,0.31,136.0,,,,
271,IC0267,02:53:50.25,+12:50:57.2,1.86,0.69,170.0,,,,
272,IC0268,02:55:26.95,-14:06:10.8,0.97,0.55,68.0,,,,
273,IC0269,02:55:26.49,-14:04:00.5,1.19,0.35,126.0,,,,
274,IC0270,02:55:44.19,-14:12:28.4,1.8,1.43,51.0,,,,
275,IC0271,02:55:59.45,-12:00:28.3,1.06,0.61,131.0,,,,
276,IC0272,02:56:06.44,-14:11:11.9,0.96,0.67,30.0,,,,
277,IC0273,02:57:10.78,+02:46:30.2,1.49,0.46,32.0,,,,
278,IC0274,03:00:05.23,+44:12:47.4,,,,,,,
279,IC0275,03:00:57.30,+44:20:54.0,1.0,,,,,,
280,IC0275 NED01,03:00:55.87,+44:20:46.7,0.32,0.23,16.0,,,,
281,IC0275 NED02,03:00:55.90,+44:21:01.3,1.38,1.2,25.0,,,,
282,IC0275 NED03,03:00:58.67,+44:21:00.6,0.3,0.3,0.0,,,,
283,IC0276,02:58:41.06,-15:42:11.2,1.67,0.61,62.0,,,,
284,IC0277,02:59:50.60,+02:46:16.9,1.0,0.89,44.0,,,,
285,IC0278,03:01:30.44,+37:45:57.6,2.17,2.17,125.0,,,,
286,IC0279,03:01:12.21,+16:12:33.2,0.54,0.45,166.0,,,,
287,IC0280,03:03:03.61,+42:21:33.5,,,,,,,
288,IC0281,03:04:37.13,+42:21:46.2,,,,,1177,,
289,IC0282,03:06:13.24,+41:50:56.2,,,,,1198,,
290,IC0283,03:03:50.46,-00:12:16.0,0.71,0.54,5.0,,,,
291,IC0284,03:06:09.91,+42:22:18.9,4.29,2.15,14.0,,,,
292,IC0285,03:04:06.22,-12:00:55.6,1.45,0.36,117.0,,,,
293,IC0286,03:04:47.22,-06:29:04.3,,,,,,,
294,IC0287,03:04:57.82,-12:04:13.6,0.81,0.59,9.0,,,,
295,IC0288,03:07:32.91,+42:23:15.2,1.01,0.28,41.0,,,,
296,IC0289,03:10:19.26,+61:19:00.4,0.58,,,,,,
297,IC0290,03:09:42.74,+40:58:27.2,1.24,0.32,129.0,,,1884,
298,IC0291,03:07:26.45,-12:35:14.8,1.19,0.52,91.0,,,,
299,IC0292,03:10:12.92,+40:45:56.4,1.19,0.65,73.0,,,1887,
300,IC0293,03:10:56.16,+41:08:13.6,1.05,0.76,108.0,,,1888,
301,IC0294,03:11:03.11,+40:37:19.6,1.49,1.17,106.0,,,1889,
302,IC0295,03:11:00.74,+40:36:54.9,,,,,,,
303,IC0296,03:11:04.77,+40:37:36.7,,,,,,,
304,IC0297,03:13:18.38,+42:08:55.6,,,,,,,
305,IC0298,03:11:18.90,+01:18:53.0,0.8,,,,,,
306,IC0298A,03:11:18.50,+01:18:54.1,0.54,0.34,35.0,,,,
307,IC0298B,03:11:19.53,+01:18:48.2,0.43,0.33,5.0,,,,
308,IC0299,03:11:02.55,-13:06:34.5,0.87,0.68,30.0,,,,
309,IC0300,03:14:16.02,+42:24:55.2,0.65,0.6,115.0,,,,
310,IC0301,03:14:47.71,+42:13:21.5,1.26,1.11,177.0,,,,
311,IC0302,03:12:51.27,+04:42:25.3,1.84,1.2,22.0,,,,
312,IC0303,03:12:40.87,-11:41:23.8,0.59,0.46,47.0,,,,
313,IC0304,03:15:01.37,+37:52:54.6,1.06,0.65,29.0,,,,
314,IC0305,03:15:03.80,+37:51:36.0,0.79,0.64,74.0,,,,
315,IC0306,03:13:00.21,-11:42:56.5,0.71,0.58,79.0,,,,
316,IC0307,03:13:45.21,-00:14:29.2,1.6,0.6,67.0,,,,
317,IC0308,03:16:15.83,+41:10:50.7,1.16,0.93,4.0,,,,
318,IC0309,03:16:06.29,+40:48:16.4,1.02,0.95,30.0,,,,
319,IC0310,03:16:42.98,+41:19:29.9,1.5,1.42,25.0,,,,
320,IC0311,03:16:46.73,+40:00:13.0,1.0,1.0,100.0,,,,
321,IC0312,03:18:08.61,+41:45:14.8,1.19,0.57,125.0,,,,
322,IC0313,03:20:57.90,+41:53:37.8,1.26,0.87,42.0,,,,
323,IC0314,03:18:49.81,-01:58:24.0,,,,,1289,,
324,IC0315,03:19:09.34,+04:02:18.8,0.68,0.33,45.0,,,,
325,IC0316,03:21:19.90,+41:55:50.0,0.8,,,,,,
326,IC0316 NED01,03:21:19.95,+41:55:44.2,0.45,0.17,116.0,,,,
327,IC0316 NED02,03:21:19.90,+41:55:54.9,1.06,0.79,64.0,,,,
328,IC0317,03:18:55.51,-12:44:24.7,0.88,0.71,58.0,,,,
329,IC0318,03:20:43.83,-14:34:05.6,1.08,0.45,134.0,,,,
330,IC0319,03:23:29.05,+41:24:58.9,,,,,,,
331,IC0320,03:25:59.18,+40:47:20.5,1.12,0.91,99.0,,,,
332,IC0321,03:24:29.59,-14:59:07.7,1.03,0.95,25.0,,,,
